Currency,Model,MAE,RMSE,MAPE
AUSTRALIA - AUSTRALIAN DOLLAR/US$,RandomForest,0.0050385166666664745,0.006102865539372785,0.34483951129756724
AUSTRALIA - AUSTRALIAN DOLLAR/US$,XGBoost,0.005022929859161385,0.006407344311589218,0.3443095147597011
EURO AREA - EURO/US$,RandomForest,0.002028958333333342,0.0025371921250009464,0.2251463467920133
EURO AREA - EURO/US$,XGBoost,0.001979187533060715,0.0025419327109334503,0.2194179869939889
NEW ZEALAND - NEW ZELAND DOLLAR/US$,RandomForest,0.005938233333333394,0.007591928537927717,0.383972095532809
NEW ZEALAND - NEW ZELAND DOLLAR/US$,XGBoost,0.005239900801976527,0.006736091808992668,0.33816804799854244
UNITED KINGDOM - UNITED KINGDOM POUND/US$,RandomForest,0.0037540416666668147,0.005002809982483239,0.4852992579833968
UNITED KINGDOM - UNITED KINGDOM POUND/US$,XGBoost,0.003462263256708775,0.004882652154715748,0.4477847471996307
BRAZIL - REAL/US$,RandomForest,0.03682466666666676,0.04788383772735824,0.8876221011945762
BRAZIL - REAL/US$,XGBoost,0.0506850487581889,0.06028389035737291,1.2232420916607358
CANADA - CANADIAN DOLLAR/US$,RandomForest,0.003027891666666675,0.004151716139642429,0.22981088145980597
CANADA - CANADIAN DOLLAR/US$,XGBoost,0.0028918203894297187,0.003997759794540509,0.21961859347226484
CHINA - YUAN/US$,RandomForest,0.00900805833333241,0.01274558336951137,0.12827023888751743
CHINA - YUAN/US$,XGBoost,0.010166550916036006,0.013431156873248315,0.14467814400714085
HONG KONG - HONG KONG DOLLAR/US$,RandomForest,0.002749033333334324,0.004186021687314823,0.03519116786494629
HONG KONG - HONG KONG DOLLAR/US$,XGBoost,0.002995973879496268,0.004587758895812276,0.038346630122932185
INDIA - INDIAN RUPEE/US$,RandomForest,0.17500049999997552,0.2344311631908044,0.24525559083770393
INDIA - INDIAN RUPEE/US$,XGBoost,0.18013731892903617,0.25136583852809813,0.25238320863664954
KOREA - WON/US$,RandomForest,3.6431350000002607,4.8086536155493835,0.3105795798928029
KOREA - WON/US$,XGBoost,3.5663671061197912,4.671498047023711,0.3037613369834771
MEXICO - MEXICAN PESO/US$,RandomForest,0.057353883333333695,0.0767761984498879,0.2985515257525437
MEXICO - MEXICAN PESO/US$,XGBoost,0.05363861389160155,0.06931867921681124,0.2786308193456861
SOUTH AFRICA - RAND/US$,RandomForest,0.0980454499999954,0.13522404002191363,0.6654557166585212
SOUTH AFRICA - RAND/US$,XGBoost,0.08169488677978513,0.11288617160015463,0.5557943135513769
SINGAPORE - SINGAPORE DOLLAR/US$,RandomForest,0.001638574999999709,0.002034675847442323,0.12037297061472593
SINGAPORE - SINGAPORE DOLLAR/US$,XGBoost,0.0014547649955749347,0.0019277610996055062,0.10691381333482167
DENMARK - DANISH KRONE/US$,RandomForest,0.019616266666666486,0.023336786889837157,0.29107143056189544
DENMARK - DANISH KRONE/US$,XGBoost,0.014868602892557788,0.019053354605462515,0.22067218859112428
JAPAN - YEN/US$,RandomForest,0.29839916666668337,0.3898736006173684,0.2743475392443993
JAPAN - YEN/US$,XGBoost,0.2526207275390628,0.330937460866823,0.23218518785456588
MALAYSIA - RINGGIT/US$,RandomForest,0.006345033333333413,0.00837716778362449,0.15280481480116168
MALAYSIA - RINGGIT/US$,XGBoost,0.0058276727294921836,0.008355010446686396,0.14037855257112172
NORWAY - NORWEGIAN KRONE/US$,RandomForest,0.03305334166666744,0.042373173044344105,0.36363912780874696
NORWAY - NORWEGIAN KRONE/US$,XGBoost,0.02682061599731463,0.034867084481606817,0.29497443996566236
SWEDEN - KRONA/US$,RandomForest,0.032622933333332625,0.0422822441793426,0.3390340481663446
SWEDEN - KRONA/US$,XGBoost,0.0343372040812174,0.04110988963088111,0.3579388807520578
SRI LANKA - SRI LANKAN RUPEE/US$,RandomForest,0.3324449999999956,0.4312015859780411,0.1838702809241107
SRI LANKA - SRI LANKAN RUPEE/US$,XGBoost,0.41317927042643326,0.5523731700664875,0.228381557982082
SWITZERLAND - FRANC/US$,RandomForest,0.003025041666666693,0.0037748667973188602,0.3059695817781248
SWITZERLAND - FRANC/US$,XGBoost,0.0026248911968866973,0.003285296451892597,0.26563414344161695
TAIWAN - NEW TAIWAN DOLLAR/US$,RandomForest,0.03829091666666174,0.056767859542902754,0.126043057748049
TAIWAN - NEW TAIWAN DOLLAR/US$,XGBoost,0.04005764389038102,0.05788206586439736,0.13179043724229333
THAILAND - BAHT/US$,RandomForest,0.052236666666663586,0.06845806137093258,0.17288488921587647
THAILAND - BAHT/US$,XGBoost,0.04387478637695329,0.06161013548868264,0.14532242565165832
